url,program_id,instructor,combined
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/viva.html,28,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/adelante.html,17,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/adelante.html,18,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/adelante.html,16,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/aventuras.html,20,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/daccord/daccord.html,33,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/daccord/daccord.html,34,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/daccord/daccord.html,35,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/denkmal.html,37,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/descubre/descubre.html,10,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/descubre/descubre.html,13,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/descubre/descubre.html,12,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/enfoques.html,7,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/enfoques3e.html,38,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/espaces.html,30,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/faceaface.html,31,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/enfoques.html,9,0,1
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/facetas3e.html,39,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/hola.html,25,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/imagina.html,26,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/enfoques.html,8,0,1
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/imaginez2e.html,41,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/immagina.html,29,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/intrigas.html,43,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/invitaciones.html,23,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/panorama.html,19,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/promenades.html,21,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/protagonistas.html,44,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/revez.html,42,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/revista.html,22,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/sentieri.html,32,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/spanishgrammar.html,45,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/suena.html,27,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/taller.html,46,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/enfoques.html,15,0,1
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/vistas.html,5,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/student_tours/vistas4e.html,40,0,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/viva.html,28,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/adelante.html,17,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/adelante.html,18,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/adelante.html,16,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/aventuras.html,20,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/daccord/daccord.html,33,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/daccord/daccord.html,34,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/daccord/daccord.html,35,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/denkmal.html,37,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/descubre/descubre.html,10,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/descubre/descubre.html,13,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/descubre/descubre.html,12,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/enfoques.html,7,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/enfoques3e.html,38,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/espaces.html,30,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/faceaface.html,31,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/enfoques.html,9,1,1
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/facetas3e.html,39,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/hola.html,25,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/imagina.html,26,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/enfoques.html,8,1,1
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/imaginez2e.html,41,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/immagina.html,29,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/intrigas.html,43,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/invitaciones.html,23,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/panorama.html,19,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/promenades.html,21,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/protagonistas.html,44,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/revez.html,42,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/revista.html,22,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/sentieri.html,32,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/spanishgrammar.html,45,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/suena.html,27,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/taller.html,46,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/enfoques.html,15,1,1
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/vistas.html,5,1,
http://bitcast-a.bitgravity.com/vhl/sstutorial/instructor_tours/vistas4e.html,40,1,
