source_file_path,start_unit,end_unit,component_name,subcomponent_name,clean_title,is_student_resource,is_protected,description
Activity_Pack/pan4e_activity_pack_board_and_instructions.pdf,0,14,Activity Pack,Board Game,Activity Pack: Board and Instructions,0,0,sample description
Activity_Pack/pan4e_activity_pack_lessons_1-15.pdf,0,14,Activity Pack,Board Game,Activity Pack: Lessons 1-15 - Cards,0,0,sample description
Activity_Pack/pan4e_l01_communication_activities.pdf,0,,Activity Pack,Communication Activities,Activity Pack: Lesson 1 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l02_communication_activities.pdf,1,,Activity Pack,Communication Activities,Activity Pack: Lesson 2 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l03_communication_activities.pdf,2,,Activity Pack,Communication Activities,Activity Pack: Lesson 3 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l04_communication_activities.pdf,3,,Activity Pack,Communication Activities,Activity Pack: Lesson 4 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l05_communication_activities.pdf,4,,Activity Pack,Communication Activities,Activity Pack: Lesson 5 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l06_communication_activities.pdf,5,,Activity Pack,Communication Activities,Activity Pack: Lesson 6 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l07_communication_activities.pdf,6,,Activity Pack,Communication Activities,Activity Pack: Lesson 7 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l08_communication_activities.pdf,7,,Activity Pack,Communication Activities,Activity Pack: Lesson 8 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l09_communication_activities.pdf,8,,Activity Pack,Communication Activities,Activity Pack: Lesson 9 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l10_communication_activities.pdf,9,,Activity Pack,Communication Activities,Activity Pack: Lesson 10 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l11_communication_activities.pdf,10,,Activity Pack,Communication Activities,Activity Pack: Lesson 11 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l12_communication_activities.pdf,11,,Activity Pack,Communication Activities,Activity Pack: Lesson 12 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l13_communication_activities.pdf,12,,Activity Pack,Communication Activities,Activity Pack: Lesson 13 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l14_communication_activities.pdf,13,,Activity Pack,Communication Activities,Activity Pack: Lesson 14 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l15_communication_activities.pdf,14,,Activity Pack,Communication Activities,Activity Pack: Lesson 15 - Communication Activities,0,0,sample description
Activity_Pack/pan4e_l01_grammar_activities.pdf,0,,Activity Pack,Grammar Activities,Activity Pack: Lesson 1 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l02_grammar_activities.pdf,1,,Activity Pack,Grammar Activities,Activity Pack: Lesson 2 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l03_grammar_activities.pdf,2,,Activity Pack,Grammar Activities,Activity Pack: Lesson 3 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l04_grammar_activities.pdf,3,,Activity Pack,Grammar Activities,Activity Pack: Lesson 4 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l05_grammar_activities.pdf,4,,Activity Pack,Grammar Activities,Activity Pack: Lesson 5 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l06_grammar_activities.pdf,5,,Activity Pack,Grammar Activities,Activity Pack: Lesson 6 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l07_grammar_activities.pdf,6,,Activity Pack,Grammar Activities,Activity Pack: Lesson 7 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l08_grammar_activities.pdf,7,,Activity Pack,Grammar Activities,Activity Pack: Lesson 8 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l09_grammar_activities.pdf,8,,Activity Pack,Grammar Activities,Activity Pack: Lesson 9 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l10_grammar_activities.pdf,9,,Activity Pack,Grammar Activities,Activity Pack: Lesson 10 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l11_grammar_activities.pdf,10,,Activity Pack,Grammar Activities,Activity Pack: Lesson 11 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l12_grammar_activities.pdf,11,,Activity Pack,Grammar Activities,Activity Pack: Lesson 12 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l13_grammar_activities.pdf,12,,Activity Pack,Grammar Activities,Activity Pack: Lesson 13 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l14_grammar_activities.pdf,13,,Activity Pack,Grammar Activities,Activity Pack: Lesson 14 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l15_grammar_activities.pdf,14,,Activity Pack,Grammar Activities,Activity Pack: Lesson 15 - Grammar Activities,0,0,sample description
Activity_Pack/pan4e_l01_review_activities.pdf,0,,Activity Pack,Review Activities,Activity Pack: Lesson 1 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l02_review_activities.pdf,1,,Activity Pack,Review Activities,Activity Pack: Lesson 2 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l03_review_activities.pdf,2,,Activity Pack,Review Activities,Activity Pack: Lesson 3 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l04_review_activities.pdf,3,,Activity Pack,Review Activities,Activity Pack: Lesson 4 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l05_review_activities.pdf,4,,Activity Pack,Review Activities,Activity Pack: Lesson 5 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l06_review_activities.pdf,5,,Activity Pack,Review Activities,Activity Pack: Lesson 6 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l07_review_activities.pdf,6,,Activity Pack,Review Activities,Activity Pack: Lesson 7 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l08_review_activities.pdf,7,,Activity Pack,Review Activities,Activity Pack: Lesson 8 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l09_review_activities.pdf,8,,Activity Pack,Review Activities,Activity Pack: Lesson 9 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l10_review_activities.pdf,9,,Activity Pack,Review Activities,Activity Pack: Lesson 10 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l11_review_activities.pdf,10,,Activity Pack,Review Activities,Activity Pack: Lesson 11 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l12_review_activities.pdf,11,,Activity Pack,Review Activities,Activity Pack: Lesson 12 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l13_review_activities.pdf,12,,Activity Pack,Review Activities,Activity Pack: Lesson 13 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l14_review_activities.pdf,13,,Activity Pack,Review Activities,Activity Pack: Lesson 14 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l15_review_activities.pdf,14,,Activity Pack,Review Activities,Activity Pack: Lesson 15 - Review Activities,0,0,sample description
Activity_Pack/pan4e_l01_vocabulary_activities.pdf,0,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 1 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_l02_vocabulary_activities.pdf,1,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 2 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_l03_vocabulary_activities.pdf,2,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 3 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_l04_vocabulary_activities.pdf,3,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 4 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_l05_vocabulary_activities.pdf,4,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 5 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_l06_vocabulary_activities.pdf,5,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 6 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_l07_vocabulary_activities.pdf,6,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 7 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_l08_vocabulary_activities.pdf,7,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 8 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_l09_vocabulary_activities.pdf,8,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 9 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_l10_vocabulary_activities.pdf,9,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 10 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_l11_vocabulary_activities.pdf,10,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 11 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_l12_vocabulary_activities.pdf,11,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 12 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_l13_vocabulary_activities.pdf,12,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 13 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_l14_vocabulary_activities.pdf,13,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 14 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_l15_vocabulary_activities.pdf,14,,Activity Pack,Vocabulary Activities,Activity Pack: Lesson 15 - Vocabulary Activities,0,0,sample description
Activity_Pack/pan4e_additional_vocabulary.pdf,0,14,Additional Vocabulary,,Additional Vocabulary: Printable lists - Lessons 1-15,0,0,sample description
Activity_Pack/pan4e_additional_vocabulary.rtf,0,14,Additional Vocabulary,,Additional Vocabulary: Editable lists - Lessons 1-15,0,0,sample description
Activity_Pack/pan4e_activity_pack_answer_key.pdf,0,14,Answer Keys,,Activity Pack: Lessons 1-15 - Printable Answer Key,0,1,sample description
Activity_Pack/pan4e_activity_pack_answer_key.rtf,0,14,Answer Keys,,Activity Pack: Lessons 1-15 - Editable Answer Key,0,1,sample description
Activity_Pack/pan4e_lab_manual_answer_key.pdf,0,14,Answer Keys,,Lab Manual: Lessons 1-15 - Printable Answer Key,0,1,sample description
Activity_Pack/pan4e_lab_manual_answer_key.rtf,0,14,Answer Keys,,Lab Manual: Lessons 1-15 - Editable Answer Key,0,1,sample description
Activity_Pack/pan4e_textbook_answer_key.pdf,0,14,Answer Keys,,Textbook: Lessons 1-15 - Printable Answer Key,0,1,sample description
Activity_Pack/pan4e_textbook_answer_key.rtf,0,14,Answer Keys,,Textbook: Lessons 1-15 - Editable Answer Key,0,1,sample description
Activity_Pack/pan4e_video_manual_answer_key.pdf,0,14,Answer Keys,,Video Manual: Lessons 1-15 - Printable Answer Key,0,1,sample description
Activity_Pack/pan4e_video_manual_answer_key.rtf,0,14,Answer Keys,,Video Manual: Lessons 1-15 - Editable Answer Key,0,1,sample description
Activity_Pack/pan4e_workbook_answer_key.pdf,0,14,Answer Keys,,Workbook: Lessons 1-15 - Printable Answer Key,0,1,sample description
Activity_Pack/pan4e_workbook_answer_key.rtf,0,14,Answer Keys,,Workbook: Lessons 1-15 - Editable Answer Key,0,1,sample description
Activity_Pack/pan4e_estructura_l01_01.ppt,0,,Grammar Slides,,Grammar Slides:  Lesson 1 - <i>Estructura</i> 1.1,0,0,sample description
Activity_Pack/pan4e_estructura_l01_02.ppt,0,,Grammar Slides,,Grammar Slides:  Lesson 1 - <i>Estructura</i> 1.2,0,0,sample description
Activity_Pack/pan4e_estructura_l01_03.ppt,0,,Grammar Slides,,Grammar Slides:  Lesson 1 - <i>Estructura</i> 1.3,0,0,sample description
Activity_Pack/pan4e_estructura_l01_04.ppt,0,,Grammar Slides,,Grammar Slides:  Lesson 1 - <i>Estructura</i> 1.4,0,0,sample description
Activity_Pack/pan4e_estructura_l02_01.ppt,1,,Grammar Slides,,Grammar Slides:  Lesson 2 - <i>Estructura</i> 2.1,0,0,sample description
Activity_Pack/pan4e_estructura_l02_02.ppt,1,,Grammar Slides,,Grammar Slides:  Lesson 2 - <i>Estructura</i> 2.2,0,0,sample description
Activity_Pack/pan4e_estructura_l02_03.ppt,1,,Grammar Slides,,Grammar Slides:  Lesson 2 - <i>Estructura</i> 2.3,0,0,sample description
Activity_Pack/pan4e_estructura_l02_04.ppt,1,,Grammar Slides,,Grammar Slides:  Lesson 2 - <i>Estructura</i> 2.4,0,0,sample description
Activity_Pack/pan4e_estructura_l03_01.ppt,2,,Grammar Slides,,Grammar Slides:  Lesson 3 - <i>Estructura</i> 3.1,0,0,sample description
Activity_Pack/pan4e_estructura_l03_02.ppt,2,,Grammar Slides,,Grammar Slides:  Lesson 3 - <i>Estructura</i> 3.2,0,0,sample description
Activity_Pack/pan4e_estructura_l03_03.ppt,2,,Grammar Slides,,Grammar Slides:  Lesson 3 - <i>Estructura</i> 3.3,0,0,sample description
Activity_Pack/pan4e_estructura_l03_04.ppt,2,,Grammar Slides,,Grammar Slides:  Lesson 3 - <i>Estructura</i> 3.4,0,0,sample description
Activity_Pack/pan4e_estructura_l04_01.ppt,3,,Grammar Slides,,Grammar Slides:  Lesson 4 - <i>Estructura</i> 4.1,0,0,sample description
Activity_Pack/pan4e_estructura_l04_02.ppt,3,,Grammar Slides,,Grammar Slides:  Lesson 4 - <i>Estructura</i> 4.2,0,0,sample description
Activity_Pack/pan4e_estructura_l04_03.ppt,3,,Grammar Slides,,Grammar Slides:  Lesson 4 - <i>Estructura</i> 4.3,0,0,sample description
Activity_Pack/pan4e_estructura_l04_04.ppt,3,,Grammar Slides,,Grammar Slides:  Lesson 4 - <i>Estructura</i> 4.4,0,0,sample description
Activity_Pack/pan4e_estructura_l05_01.ppt,4,,Grammar Slides,,Grammar Slides:  Lesson 5 - <i>Estructura</i> 5.1,0,0,sample description
Activity_Pack/pan4e_estructura_l05_02.ppt,4,,Grammar Slides,,Grammar Slides:  Lesson 5 - <i>Estructura</i> 5.2,0,0,sample description
Activity_Pack/pan4e_estructura_l05_03.ppt,4,,Grammar Slides,,Grammar Slides:  Lesson 5 - <i>Estructura</i> 5.3,0,0,sample description
Activity_Pack/pan4e_estructura_l05_04.ppt,4,,Grammar Slides,,Grammar Slides:  Lesson 5 - <i>Estructura</i> 5.4,0,0,sample description
Activity_Pack/pan4e_estructura_l06_01.ppt,5,,Grammar Slides,,Grammar Slides:  Lesson 6 - <i>Estructura</i> 6.1,0,0,sample description
Activity_Pack/pan4e_estructura_l06_02.ppt,5,,Grammar Slides,,Grammar Slides:  Lesson 6 - <i>Estructura</i> 6.2,0,0,sample description
Activity_Pack/pan4e_estructura_l06_03.ppt,5,,Grammar Slides,,Grammar Slides:  Lesson 6 - <i>Estructura</i> 6.3,0,0,sample description
