package_id,privilege_id,months_duration
84,30,24
85,30,24
86,30,24
87,37,24
88,37,24
89,37,24
90,43,24
91,43,24
92,43,24
46,68,12
47,68,12
46,65,12
47,65,12
47,67,12
46,69,12
47,69,12
46,66,12
35,75,24
36,75,24
48,79,12
49,79,12
48,78,12
48,80,12
49,80,12
48,77,12
49,77,12
40,81,24
41,81,24
52,88,18
53,88,18
54,88,18
59,98,24
60,98,24
61,98,24
66,108,24
67,108,24
68,108,24
76,115,12
77,115,12
100,115,12
77,114,12
100,114,12
76,116,12
77,116,12
100,116,12
76,113,12
77,113,12
73,117,24
74,117,24
75,117,24
1,1,36
2,2,36
3,3,18
4,4,18
5,8,36
6,8,36
5,5,36
6,5,36
6,7,36
5,9,36
6,9,36
5,6,36
7,10,18
8,14,18
9,14,18
8,11,18
9,11,18
9,13,18
8,15,18
9,15,18
8,12,18
11,17,18
10,19,18
11,19,18
10,16,18
12,23,18
13,23,18
12,20,18
13,20,18
13,22,18
12,24,18
13,24,18
12,21,18
14,28,36
15,28,36
85,28,36
86,28,36
14,25,36
15,25,36
85,25,36
86,25,36
15,27,36
86,27,36
14,29,36
15,29,36
85,29,36
86,29,36
14,26,36
85,26,36
86,26,36
16,31,36
17,35,36
18,35,36
88,35,36
89,35,36
17,32,36
18,32,36
88,32,36
89,32,36
18,34,36
89,34,36
17,36,36
18,36,36
88,36,36
89,36,36
17,33,36
88,33,36
89,33,36
19,41,36
20,41,36
20,47,36
91,41,36
92,41,36
19,38,36
20,38,36
20,44,36
91,38,36
92,38,36
20,40,36
92,40,36
19,42,36
20,42,36
20,49,36
91,42,36
92,42,36
19,39,36
91,39,36
92,39,36
21,47,18
21,44,18
22,46,18
21,49,18
23,48,18
21,45,18
24,53,36
29,53,36
24,50,36
29,50,36
29,52,36
24,54,36
29,54,36
24,51,36
25,58,36
30,58,36
25,55,36
30,55,36
30,57,36
25,59,36
30,59,36
25,56,36
26,63,36
31,63,36
26,60,36
31,60,36
31,62,36
26,64,36
31,64,36
26,61,36
27,68,36
28,68,36
27,65,36
28,65,36
28,67,36
27,69,36
28,69,36
27,66,36
32,73,36
33,73,36
34,73,36
35,73,36
36,73,36
32,70,36
33,70,36
34,70,36
35,70,36
36,70,36
33,72,36
34,72,36
36,72,36
32,74,36
33,74,36
34,74,36
35,74,36
36,74,36
32,71,36
34,71,36
35,71,36
36,71,36
37,79,36
38,79,36
39,79,36
40,79,36
41,79,36
38,78,36
39,78,36
41,78,36
