252397	8	2
282824	10	1
310245	34	1
310246	34	2
310247	34	3
314299	26	9
315699	14	1
316318	16	2
316573	2	1
316606	26	15
316618	30	1
316621	12	1
316812	1	9
316930	2	8
317286	4	34
317914	6	1
317915	6	2
318206	12	1
318427	2	43
318637	29	25
319559	15	19
319835	1	2
319836	1	2
319839	19	2
319845	1	2
319865	1	2
319870	1	2
319876	1	2
319883	19	2
319886	2	2
319893	1	2
319895	1	2
319899	1	2
319902	2	2
319903	1	2
319907	1	2
319915	1	2
319922	1	2
319945	1	2
319972	1	2
319978	1	2
319980	1	2
319982	1	2
319984	2	2
320000	1	2
320050	2	2
320061	16	16
320066	1	2
320095	2	2
320096	2	2
320099	1	2
320110	2	2
320114	1	2
320124	1	2
320130	2	2
320137	1	2
320138	1	2
320139	1	2
320141	2	2
320144	1	2
320145	1	2
320151	1	2
320152	1	2
320154	1	2
320178	1	2
320180	1	2
320185	1	2
320186	1	2
320188	1	2
320189	1	2
320191	1	2
320201	1	2
320202	1	2
320212	1	2
320213	2	2
320219	1	2
320220	1	2
320222	1	2
320223	1	2
320229	1	2
320256	1	2
320262	1	2
320264	1	2
320265	3	9
320285	1	2
320286	1	2
320287	1	2
320288	2	2
320296	1	2
320307	1	2
320309	1	2
320310	1	2
320335	2	2
320341	1	2
320343	1	2
320344	1	2
320470	27	18
320717	2	14
320848	1	2
320899	1	2
